,total_sqft,bath,balcony,price,bhk,area_type_le,location_le
0,1056.0,2.0,1.0,39.07,2,3,77
1,2600.0,5.0,3.0,120.0,4,2,59
2,1440.0,2.0,3.0,62.0,3,0,220
3,1521.0,3.0,1.0,95.0,3,3,155
4,1200.0,2.0,1.0,51.0,2,3,147
5,1170.0,2.0,1.0,38.0,2,3,229
8,1310.0,3.0,1.0,63.25,3,3,162
10,1800.0,2.0,2.0,70.0,3,3,229
11,2785.0,5.0,3.0,295.0,4,2,229
12,1000.0,2.0,1.0,38.0,2,3,6
13,1100.0,2.0,2.0,40.0,2,0,84
14,2250.0,3.0,2.0,148.0,3,2,198
15,1175.0,2.0,2.0,73.5,2,3,168
16,1180.0,3.0,2.0,48.0,3,3,48
17,1540.0,3.0,3.0,60.0,3,3,189
18,2770.0,4.0,2.0,290.0,3,3,235
19,1100.0,2.0,2.0,48.0,2,3,235
20,600.0,1.0,1.0,15.0,1,0,137
21,1755.0,3.0,1.0,122.0,3,3,47
22,2800.0,5.0,2.0,380.0,4,2,214
23,1767.0,3.0,1.0,103.0,3,3,42
24,510.0,1.0,0.0,25.25,1,3,214
25,1250.0,3.0,2.0,56.0,3,3,235
26,660.0,1.0,1.0,23.1,2,3,76
27,1610.0,3.0,2.0,81.0,3,0,229
28,1151.0,2.0,2.0,48.77,2,3,192
29,1025.0,2.0,1.0,47.0,3,3,76
30,2475.0,4.0,0.0,186.0,4,3,231
31,1075.0,2.0,1.0,35.0,3,3,48
32,1760.0,2.0,2.0,123.0,3,3,93
33,1693.0,3.0,3.0,57.39,3,3,189
35,700.0,2.0,1.0,36.0,2,3,129
36,1070.0,2.0,1.0,45.5,2,3,78
37,1724.0,3.0,2.0,125.0,3,3,151
38,1290.0,2.0,2.0,56.12,3,3,61
39,1143.0,2.0,2.0,45.0,2,0,220
41,1254.0,3.0,2.0,38.0,3,3,199
42,600.0,1.0,0.0,38.0,1,3,235
43,660.0,1.0,0.0,48.0,1,2,231
44,1330.74,2.0,2.0,91.79,2,3,129
46,970.0,2.0,0.0,33.0,2,3,72
47,1459.0,2.0,1.0,94.82,2,3,229
48,800.0,1.0,1.0,130.0,2,2,117
49,869.0,2.0,1.0,36.0,2,0,235
50,1270.0,2.0,1.0,50.0,2,3,235
51,1670.0,3.0,1.0,99.0,3,3,45
52,2010.0,3.0,2.0,91.0,3,0,229
53,1185.0,2.0,2.0,75.0,2,3,154
54,1600.0,2.0,3.0,75.0,3,3,231
55,1200.0,2.0,2.0,44.0,2,3,41
57,1500.0,2.0,2.0,185.0,2,3,235
59,840.0,2.0,2.0,45.0,2,3,235
60,4395.0,3.0,2.0,240.0,3,2,235
61,845.0,2.0,1.0,55.0,2,3,235
62,5700.0,5.0,3.0,650.0,4,2,229
63,1160.0,2.0,2.0,44.0,2,0,221
64,3000.0,8.0,0.0,140.0,8,0,49
65,1100.0,2.0,1.0,62.0,2,3,72
66,1140.0,2.0,3.0,43.0,2,3,87
67,1220.0,2.0,1.0,57.0,2,3,162
69,1005.0,2.0,1.0,36.68,2,3,129
71,1358.0,2.0,1.0,80.58,2,3,41
72,1569.0,3.0,1.0,101.0,3,3,95
73,1240.0,2.0,1.0,70.0,2,3,91
74,2089.0,3.0,2.0,140.0,3,3,97
75,1206.0,2.0,1.0,48.23,2,3,146
76,1150.0,2.0,3.0,40.0,2,3,123
77,2511.0,3.0,3.0,205.0,3,0,235
79,4400.0,6.0,3.0,250.0,6,0,107
80,1660.0,2.0,2.0,105.0,3,3,235
82,1326.0,2.0,2.0,78.0,2,3,231
83,1325.0,2.0,2.0,60.8,3,3,81
84,1499.0,5.0,2.0,102.0,3,3,75
85,3000.0,7.0,2.0,210.0,6,0,95
86,1665.0,3.0,2.0,88.0,3,3,129
87,708.0,2.0,2.0,37.0,2,3,66
88,1060.0,2.0,2.0,58.06,2,3,132
90,1000.0,2.0,2.0,70.0,2,0,196
91,1000.0,2.0,1.0,28.88,2,3,76
92,1450.0,2.0,2.0,70.0,3,3,235
94,1296.0,2.0,3.0,80.0,2,3,214
95,1540.0,3.0,2.0,90.0,3,3,73
96,2894.0,4.0,1.0,245.0,4,2,137
97,1330.0,2.0,1.0,48.0,3,3,200
98,1200.0,2.0,1.0,65.0,2,0,235
99,1200.0,3.0,1.0,90.0,3,0,235
100,2502.0,3.0,3.0,138.0,3,3,234
101,650.0,1.0,1.0,17.0,2,0,57
102,2400.0,2.0,1.0,150.0,3,2,147
103,1007.0,2.0,2.0,43.0,2,3,235
104,1200.0,2.0,2.0,50.0,2,3,235
105,966.0,2.0,2.0,49.9,2,3,235
106,1630.0,2.0,1.0,98.0,3,0,171
107,1640.0,3.0,2.0,229.0,3,0,190
108,782.0,2.0,2.0,55.68,2,0,235
109,1260.0,2.0,2.0,66.78,2,3,68
110,1800.0,3.0,3.0,120.0,3,3,235
111,1413.0,2.0,2.0,75.0,3,3,235
112,1116.0,2.0,1.0,51.91,2,3,229
113,1530.0,2.0,1.0,45.9,3,3,76
114,3700.0,4.0,1.0,225.0,4,0,193
115,2497.0,3.0,2.0,140.0,3,0,199
116,1540.0,2.0,3.0,64.0,3,3,137
117,1436.0,3.0,1.0,74.75,3,3,214
118,1100.0,2.0,2.0,75.0,2,3,161
120,1427.0,3.0,2.0,120.0,3,3,214
121,2061.0,3.0,1.0,200.0,3,3,11
122,5611.5,4.0,0.0,477.0,4,3,93
123,2650.0,4.0,2.0,150.0,4,0,204
124,1282.0,2.0,2.0,68.52,3,3,68
125,1050.0,2.0,1.0,34.0,2,0,119
126,1600.0,3.0,2.0,65.0,3,0,152
127,945.0,2.0,1.0,54.0,2,3,235
128,1500.0,2.0,1.0,78.0,2,3,101
130,1870.0,3.0,3.0,110.0,3,0,235
131,1600.0,3.0,1.0,75.0,3,2,198
132,880.0,1.0,1.0,16.5,2,3,76
134,1535.0,3.0,2.0,83.0,3,3,149
135,950.0,2.0,1.0,57.0,2,0,129
136,1360.0,2.0,1.0,65.0,2,3,68
137,1073.5,2.0,0.0,54.005,2,3,7
138,1280.0,3.0,1.0,50.4,3,3,51
139,1260.0,2.0,2.0,85.05,3,3,235
141,3050.0,5.0,1.0,213.0,5,3,231
142,1563.05,3.0,1.0,105.0,3,3,132
143,1000.0,2.0,1.0,60.0,2,3,107
144,1167.0,2.0,1.0,43.76,2,3,15
145,4000.0,7.0,2.0,225.0,7,3,226
147,890.0,2.0,1.0,35.0,2,3,138
148,1612.0,3.0,3.0,46.74,3,3,235
150,1710.0,4.0,2.0,91.31,3,3,168
151,957.0,2.0,1.0,58.0,2,3,130
152,1250.0,2.0,3.0,44.0,3,3,69
154,1125.0,2.0,2.0,50.0,2,3,106
155,1020.0,2.0,1.0,30.6,2,3,77
156,1200.0,2.0,2.0,50.0,2,3,123
157,1735.0,3.0,3.0,135.0,3,3,214
158,2050.0,3.0,1.0,145.0,3,3,214
159,3750.0,4.0,0.0,760.0,4,2,158
160,1350.0,2.0,3.0,48.0,3,0,235
161,1063.0,2.0,1.0,32.0,2,3,102
162,1904.0,3.0,1.0,150.0,3,3,235
163,4200.0,4.0,2.0,420.0,4,0,229
164,2000.0,3.0,1.0,175.0,3,3,235
165,1242.5,2.0,0.0,43.49,2,3,198
166,1425.0,2.0,2.0,75.0,3,3,235
167,1500.0,2.0,1.0,64.5,3,3,76
168,1060.0,2.0,1.0,60.0,2,0,76
169,1470.0,2.0,2.0,70.0,3,0,235
171,450.0,1.0,1.0,11.0,1,3,21
172,1152.0,2.0,1.0,64.5,2,3,76
173,1350.0,2.0,1.0,56.0,3,3,76
174,1550.0,3.0,3.0,65.0,3,3,55
175,1500.0,3.0,2.0,100.0,3,2,235
177,400.0,1.0,0.0,14.0,1,2,173
178,705.0,1.0,2.0,67.0,1,3,161
179,770.0,1.0,1.0,36.0,2,0,76
180,1242.0,2.0,3.0,51.0,2,3,106
181,1700.0,3.0,2.0,155.0,3,3,94
182,2144.0,3.0,2.0,145.0,3,3,214
183,1704.0,3.0,2.0,110.0,3,3,225
184,1070.0,2.0,1.0,52.0,2,3,76
185,1846.0,3.0,2.0,300.0,3,2,235
186,1340.0,2.0,2.0,55.7,2,3,235
187,1025.0,2.0,1.0,46.0,2,0,76
188,1277.5,2.0,0.0,56.8,2,3,117
189,1200.0,2.0,2.0,52.0,2,3,162
190,2250.0,4.0,1.0,110.0,4,0,129
191,1550.0,2.0,3.0,80.0,3,3,184
194,1200.0,2.0,2.0,60.0,2,3,162
195,1327.0,2.0,2.0,98.0,2,3,231
196,1186.0,2.0,2.0,58.0,2,3,147
197,1783.0,3.0,1.0,115.0,3,0,235
198,1400.0,3.0,2.0,56.0,3,3,90
199,980.0,2.0,1.0,48.0,2,3,172
200,1285.0,2.0,2.0,82.0,2,3,75
201,912.0,2.0,1.0,70.0,3,3,235
202,1225.0,2.0,2.0,47.6,2,0,229
203,1075.0,2.0,1.0,53.0,2,3,229
204,1260.0,2.0,2.0,54.0,3,0,119
205,1282.0,2.0,2.0,48.7,3,3,231
206,1909.0,3.0,2.0,88.0,3,3,143
207,1359.0,2.0,1.0,87.0,2,3,182
208,1207.0,2.0,2.0,43.5,2,0,235
209,1736.0,6.0,0.0,190.0,4,2,180
210,2850.0,4.0,1.0,428.0,4,3,0
211,1595.0,3.0,2.0,65.0,3,3,127
212,1798.0,3.0,2.0,89.0,3,0,235
213,1475.0,3.0,2.0,78.29,3,3,78
214,1580.0,3.0,3.0,100.0,3,3,235
215,1295.0,2.0,1.0,65.0,2,3,67
216,3600.0,6.0,0.0,141.0,6,0,156
217,589.0,1.0,1.0,27.0,1,3,76
218,1415.0,3.0,3.0,78.0,3,3,235
219,1787.0,3.0,2.0,98.29,3,3,199
220,1787.0,3.0,2.0,125.0,3,3,199
221,1475.0,2.0,3.0,90.0,3,3,145
222,2000.0,4.0,1.0,75.5,4,0,235
223,984.0,2.0,1.0,44.28,2,3,199
225,2405.0,4.0,2.0,260.0,3,3,235
226,1080.0,2.0,2.0,72.0,2,0,6
227,1500.0,2.0,1.0,115.0,2,2,235
228,1900.0,3.0,2.0,119.0,3,3,93
229,805.0,2.0,1.0,22.14,2,3,74
230,1153.0,2.0,2.0,56.4,2,3,54
231,1148.0,2.0,2.0,60.0,2,3,235
232,1110.0,2.0,2.0,55.0,2,3,235
233,1100.0,2.0,2.0,42.0,2,0,76
234,1290.0,2.0,2.0,110.0,2,3,124
235,1500.0,2.0,1.0,65.0,3,3,235
236,1080.0,2.0,2.0,39.0,2,3,235
237,1933.0,3.0,1.0,129.0,3,3,225
238,3500.0,5.0,2.0,150.0,5,0,193
239,1060.0,2.0,2.0,60.0,2,0,235
240,645.0,1.0,1.0,16.45,1,3,57
241,2600.0,8.0,2.0,180.0,8,2,235
242,645.0,1.0,1.0,16.45,1,3,57
243,1644.0,3.0,3.0,84.0,3,3,235
244,1285.0,2.0,3.0,72.5,2,3,235
245,1200.0,3.0,1.0,90.0,3,2,76
246,910.0,2.0,1.0,40.0,2,3,76
247,1577.0,3.0,1.0,70.0,3,3,147
248,4050.0,3.0,2.0,280.0,3,2,235
249,2420.0,3.0,2.0,185.0,3,3,177
250,800.0,1.0,1.0,20.0,2,3,57
251,1060.0,2.0,2.0,55.0,2,0,235
252,1270.0,2.0,2.0,93.0,2,3,6
253,900.0,2.0,2.0,22.5,2,3,235
254,1280.0,2.0,1.0,69.0,2,0,235
256,1025.0,2.0,2.0,36.0,2,0,199
257,1108.0,2.0,1.0,63.0,2,3,76
259,3045.0,3.0,2.0,170.0,3,3,235
260,2900.0,3.0,2.0,300.0,4,2,13
261,1500.0,3.0,2.0,75.5,3,3,225
262,1295.0,2.0,2.0,43.9,2,3,189
263,1162.0,2.0,1.0,59.9,2,3,54
264,1035.0,2.0,2.0,49.2,2,3,199
265,1600.0,4.0,0.0,52.8,4,0,21
266,1464.0,3.0,2.0,46.0,3,3,235
267,1866.0,2.0,2.0,61.58,3,3,97
268,700.0,1.0,1.0,26.0,2,3,235
269,1804.0,3.0,2.0,120.0,3,3,123
270,913.0,2.0,1.0,32.0,2,3,198
271,1868.0,3.0,2.0,131.0,3,3,213
